show_id,status
81145628,A
80117401,A
70234439,A
80058654,A
80125979,A
80163890,A
70304989,A
80164077,A
80117902,I
70304990,A
80169755,A
70299204,A
80182480,A
80182483,A
80182596,A
80182482,A
80182597,I
80182481,A
80182621,A
80057969,A
80060297,A
80046728,A
80046727,A
70304988,A
80057700,A
80045922,A
80244601,A
80203094,A
80190843,A
70241607,A
80988892,A
80239639,A
80159586,A
80152447,A
80221550,A
81154455,A
81113928,A
81052275,A
81132437,A
80178151,A
80058026,A
70303496,A
80162141,A
80095641,A
81176188,A
80159880,A
81016044,A
80158838,A
81016045,A
70142798,A
70062814,A
80158839,A
80147760,A
80177405,A
80113482,A
81160036,A
81173255,A
81078908,A
81155784,A
80201906,A
80052612,A
80113641,A
81054495,A
80996949,A
80239337,A
70212504,A
81011682,A
80128317,A
81027384,A
80030186,A
80116921,A
80187061,A
80181555,A
80081155,A
80184358,A
80198585,A
70233894,A
81011955,A
80128722,A
80182115,A
80163293,A
80104068,A
80119349,A
80199032,A
80180449,A
80019931,A
81053893,A
80200087,A
81053892,A
81002850,A
81004470,A
80157072,A
81001809,A
80201933,A
81002864,A
81016750,A
81002866,A
80992039,A
80126507,A
80225885,A
81132443,A
80218107,A
80231903,A
80220715,A
81171121,A
80241248,A
81012295,A
80060037,A
60003155,A
81177238,A
70270775,A
81025403,A
80215923,A
80151483,A
80173625,A
80005444,A
80244682,A
81075519,A
80166318,A
81186758,A
81186757,A
80108976,A
80208155,A
80198423,A
80162144,A
81053953,A
81074113,A
80992496,A
70304191,A
80103311,A
81176200,A
80238106,A
80208906,A
80097321,A
80106966,A
81004814,A
81080769,A
70267838,A
80211380,A
80196586,A
80099204,A
80059432,A
81172721,A
81172727,A
70153543,A
81172728,A
81095101,A
80195173,A
80241960,A
80115346,A
80124522,A
80102952,A
80214464,A
80157073,A
80243600,A
81020513,A
81020518,A
81020523,A
80216172,A
81122669,A
80184771,A
81000389,A
81132439,A
81035117,A
80244627,A
80150502,A
80189183,A
80997866,A
80119815,A
80993149,A
80224294,A
80203776,A
80143797,A
80161931,A
80128096,A
80057610,A
80017275,A
81107545,A
70118953,A
80190449,A
70259208,A
80163156,A
80176878,A
80131281,A
80131374,A
80131436,A
80131376,A
80131435,A
80131375,A
80149143,A
81144925,A
80987075,A
80192815,A
80136785,A
80135278,A
80136452,A
80066798,A
81147293,A
70178604,A
80991316,A
80190588,A
70124316,A
70229037,A
80219119,A
80037280,A
80165072,A
80058248,A
70307661,A
70117312,A
80092885,A
80108371,A
70129452,A
80045805,A
80101827,A
70251519,A
81174992,A
81044365,A
81030342,A
70143865,A
70054723,A
81069393,A
80012550,A
81131761,A
81176196,A
70143831,A
81003648,A
81016326,A
80241102,A
80227777,A
81018233,A
81016317,A
81016337,A
81018234,A
80241103,A
80240816,A
81018241,A
81018235,A
81018236,A
81018237,A
81018238,A
81016339,A
80067522,A
80192149,A
80142637,A
80192014,A
80192015,A
80168230,A
80202129,A
80088910,A
70290909,A
80126566,A
80033772,A
81093951,A
80238013,A
81089941,A
81000011,A
80243899,A
80217733,A
80220035,A
80194704,A
80225949,A
80999985,A
81002336,A
80188120,A
80164779,A
80993613,A
81092328,A
81183572,A
81037283,A
80244973,A
81095103,A
81132438,A
80217779,A
80211572,A
81161230,A
81002412,A
81023636,A
80217669,A
80153467,A
80192834,A
80198046,A
80106307,A
80993062,A
81098586,A
70267728,A
81011508,A
81001000,A
80192445,A
80158670,A
80223685,A
80189586,A
80244019,A
80162143,A
81060174,A
70130445,A
80216928,A
81001494,A
81077065,A
80991570,A
80184129,A
60000861,A
1151375,A
81137484,A
80187228,A
81031008,A
70099119,A
70039185,A
81073764,A
81165769,A
70056433,A
70113003,A
60031232,A
80032842,A
81137482,A
70043308,A
81165771,A
70044697,A
70105368,A
80241003,A
81141689,A
1008581,A
70058023,A
81165786,A
81165770,A
70043303,A
70136074,A
1153194,A
70112730,A
81154900,A
